105年02月03日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價指數,"9,380.50",－,77.55,-0.82
發行量加權股價指數,"8,063.00",－,68.24,-0.84
臺灣50指數,"5,892.33",－,38.28,-0.65
臺灣中型100指數,"5,896.29",－,83.19,-1.39
臺灣資訊科技指數,"7,066.61",＋,32.25,0.46
臺灣發達指數,"6,887.17",－,107.00,-1.53
臺灣高股息指數,"5,076.53",－,58.75,-1.14
臺灣就業99指數,"4,900.76",－,60.41,-1.22
臺灣高薪100指數,"4,384.95",－,52.89,-1.19
臺灣低波動高股息指數,"1,228.17",－,11.75,-0.95
未含金融保險股指數,"6,858.74",－,46.30,-0.67
未含電子股指數,"11,467.69",－,165.12,-1.42
未含金融電子股指數,"10,065.92",－,123.13,-1.21
水泥窯製類指數,368.70,－,4.11,-1.10
塑膠化工類指數,729.54,－,8.30,-1.12
機電類指數,"1,812.75",－,6.52,-0.36
水泥類指數,95.61,－,1.20,-1.24
食品類指數,"1,307.90",－,27.38,-2.05
塑膠類指數,208.62,－,3.01,-1.42
紡織纖維類指數,536.33,－,5.01,-0.93
電機機械類指數,140.42,－,1.80,-1.27
電器電纜類指數,28.02,,0.00,0.00
化學生技醫療類指數,98.72,－,0.58,-0.58
化學類指數,89.20,－,0.72,-0.80
生技醫療類指數,78.35,－,0.28,-0.36
玻璃陶瓷類指數,33.03,－,0.12,-0.36
造紙類指數,141.61,－,1.12,-0.78
鋼鐵類指數,73.42,－,1.04,-1.40
橡膠類指數,276.07,－,1.35,-0.49
汽車類指數,241.75,－,3.57,-1.46
電子類指數,322.21,－,1.06,-0.33
半導體類指數,108.99,＋,0.97,0.90
電腦及週邊設備類指數,87.30,－,1.64,-1.84
光電類指數,28.00,－,0.38,-1.34
通信網路類指數,115.01,－,0.24,-0.21
電子零組件類指數,70.09,－,1.00,-1.41
電子通路類指數,92.23,＋,0.30,0.33
資訊服務類指數,78.72,－,0.28,-0.35
其他電子類指數,74.29,－,1.53,-2.02
建材營造類指數,211.98,＋,1.00,0.47
航運類指數,62.82,－,0.71,-1.12
觀光類指數,110.38,－,0.85,-0.76
金融保險類指數,889.90,－,17.87,-1.97
貿易百貨類指數,202.77,－,1.15,-0.56
油電燃氣類指數,103.06,－,2.39,-2.27
其他類指數,231.34,－,2.58,-1.10
報酬指數系列,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價報酬指數,"10,040.87",－,83.01,-0.82
發行量加權股價報酬指數,"12,763.19",－,108.01,-0.84
臺灣50報酬指數,"9,426.51",－,61.24,-0.65
臺灣中型100報酬指數,"8,808.46",－,124.27,-1.39
臺灣資訊科技報酬指數,"10,749.17",＋,49.06,0.46
臺灣發達報酬指數,"9,952.73",－,154.63,-1.53
臺灣高股息報酬指數,"8,993.22",－,104.08,-1.14
