105年01月04日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價指數,"9,455.75",－,253.16,-2.61
發行量加權股價指數,"8,114.26",－,223.80,-2.68
臺灣50指數,"5,918.25",－,187.19,-3.07
臺灣中型100指數,"5,952.48",－,133.78,-2.20
臺灣資訊科技指數,"6,923.96",－,175.08,-2.47
臺灣發達指數,"6,914.54",－,221.80,-3.11
臺灣高股息指數,"5,005.94",－,119.42,-2.33
臺灣就業99指數,"4,996.09",－,143.21,-2.79
臺灣高薪100指數,"4,431.66",－,135.70,-2.97
臺灣低波動高股息指數,"1,237.06",－,35.16,-2.76
未含金融保險股指數,"6,832.03",－,178.77,-2.55
未含電子股指數,"11,695.04",－,389.13,-3.22
未含金融電子股指數,"10,049.23",－,321.15,-3.10
水泥窯製類指數,372.19,－,15.54,-4.01
塑膠化工類指數,715.88,－,35.13,-4.68
機電類指數,"1,803.02",－,40.42,-2.19
水泥類指數,96.50,－,3.97,-3.95
食品類指數,"1,305.61",－,16.06,-1.22
塑膠類指數,202.52,－,13.03,-6.05
紡織纖維類指數,535.21,－,15.85,-2.88
電機機械類指數,139.07,－,2.74,-1.93
電器電纜類指數,28.42,－,0.38,-1.32
化學生技醫療類指數,100.09,－,1.90,-1.86
化學類指數,89.55,－,1.70,-1.86
生技醫療類指數,80.22,－,1.54,-1.88
玻璃陶瓷類指數,33.38,－,1.50,-4.30
造紙類指數,148.04,－,1.96,-1.31
鋼鐵類指數,71.64,－,1.49,-2.04
橡膠類指數,270.90,－,6.36,-2.29
汽車類指數,263.91,－,8.57,-3.15
電子類指數,320.50,－,7.23,-2.21
半導體類指數,107.30,－,2.45,-2.23
電腦及週邊設備類指數,83.70,－,2.40,-2.79
光電類指數,28.15,－,0.97,-3.33
通信網路類指數,111.37,－,1.45,-1.29
電子零組件類指數,74.36,－,1.70,-2.24
電子通路類指數,91.10,－,1.99,-2.14
資訊服務類指數,79.82,－,1.29,-1.59
其他電子類指數,77.25,－,1.49,-1.89
建材營造類指數,222.59,－,5.32,-2.33
航運類指數,65.13,－,2.03,-3.02
觀光類指數,117.02,－,1.50,-1.27
金融保險類指數,957.25,－,34.88,-3.52
貿易百貨類指數,197.11,－,4.67,-2.31
油電燃氣類指數,98.88,－,2.42,-2.39
其他類指數,235.13,－,6.67,-2.76
報酬指數系列,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
寶島股價報酬指數,"10,121.42",－,270.98,-2.61
發行量加權股價報酬指數,"12,844.34",－,354.25,-2.68
臺灣50報酬指數,"9,467.99",－,299.46,-3.07
臺灣中型100報酬指數,"8,892.39",－,199.86,-2.20
臺灣資訊科技報酬指數,"10,532.17",－,266.33,-2.47
臺灣發達報酬指數,"9,992.28",－,320.52,-3.11
臺灣高股息報酬指數,"8,868.17",－,211.55,-2.33
臺灣就業99報酬指數,"5,899.47",－,169.11,-2.79
臺灣高薪100報酬指數,"4,659.08",－,142.66,-2.97
臺灣低波動高股息報酬指數,"2,551.42",－,72.52,-2.76
未含金融電子股報酬指數,"15,984.00",－,510.82,-3.10
水泥類報酬指數,135.77,－,5.58,-3.95
食品類報酬指數,"1,552.22",－,19.10,-1.22
塑膠類報酬指數,258.44,－,16.63,-6.05
紡織纖維類報酬指數,675.73,－,20.02,-2.88
電機機械類報酬指數,173.29,－,3.41,-1.93
電器電纜類報酬指數,32.50,－,0.44,-1.34
化學生技醫療類報酬指數,125.64,－,2.39,-1.87
化學類報酬指數,115.40,－,2.18,-1.85
生技醫療類報酬指數,95.55,－,1.84,-1.89
玻璃陶瓷類報酬指數,35.85,－,1.61,-4.30
造紙類報酬指數,176.73,－,2.34,-1.31
鋼鐵類報酬指數,92.41,－,1.92,-2.04
橡膠類報酬指數,337.68,－,7.93,-2.29
汽車類報酬指數,321.88,－,10.45,-3.14
電子類報酬指數,465.87,－,10.50,-2.20
半導體類報酬指數,149.30,－,3.42,-2.24
電腦及週邊設備類報酬指數,126.88,－,3.64,-2.79
光電類報酬指數,34.26,－,1.17,-3.30
通信網路類報酬指數,178.44,－,2.32,-1.28
電子零組件類報酬指數,106.92,－,2.45,-2.24
電子通路類報酬指數,143.67,－,3.15,-2.15
資訊服務類報酬指數,127.79,－,2.06,-1.59
其他電子類報酬指數,93.12,－,1.80,-1.90
建材營造類報酬指數,305.86,－,7.31,-2.33
航運類報酬指數,78.43,－,2.45,-3.03
觀光類報酬指數,132.80,－,1.70,-1.26
金融保險類報酬指數,"1,237.42",－,45.08,-3.52
貿易百貨類報酬指數,239.67,－,5.67,-2.31
油電燃氣類報酬指數,118.88,－,2.91,-2.39
其他類報酬指數,312.38,－,8.86,-2.76
成交統計,成交金額(元),成交股數(股),成交筆數
1.一般股票,"64,271,289,597","1,740,619,980","690,180"
2.台灣存託憑證,"14,747,773","8,642,391",911
3.受益憑證,0,0,0
4.ETF,"11,422,434,089","525,316,157","86,546"
5.受益證券,"4,159,916","285,001",67
6.變更交易股票,"13,905,736","4,871,977",865
7.認購(售)權證,"1,310,139,680","1,548,582,000","45,133"
8.轉換公司債,0,0,0
9.附認股權特別股,0,0,0
10.附認股權公司債,0,0,0
11.認股權憑證,0,0,0
12.公司債,0,0,0
證券合計(1+6),"64,285,195,333","1,745,491,957","691,045"
總計(1~12),"77,036,676,791","3,828,317,506","823,702"
漲跌證券數合計
類型,整體市場,股票
上漲(漲停),"1,558(8)",117(6)
下跌(跌停),"3,449(63)",708(1)
持平,192,37
未成交,"4,721",8
無比價,"1,313",3
說明：,1. &quot;漲跌價差&quot;為當日收盤價與前一日收盤價比較。2. &quot;無比價家數&quot;含當日除權、除息、新上市、恢復交易者。
"105年01月04日每日收盤行情(全部)(元,股)","(元,交易單位)"
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
="0050",台灣50,"16,928,063","5,730","1,009,176,452",60.80,60.95,59.05,59.55,－,1.20,59.55,46,59.60,213,0.00
="0051",中100,"50,200",34,"1,227,085",25.00,25.00,24.25,24.28,－,0.49,24.26,1,24.28,23,0.00
="0052",FB科技,"1,000",1,"37,190",37.19,37.19,37.19,37.19,X,0.00,37.05,2,37.19,9,0.00
="0053",寶電子,"33,000",10,"835,550",25.39,25.39,25.28,25.38,－,0.62,25.38,2,25.47,1,0.00
="0054",台商50,"2,000",2,"39,510",19.83,19.83,19.68,19.68,X,0.00,19.55,1,19.73,8,0.00
="0055",寶金融,"415,000",170,"5,322,680",13.02,13.04,12.74,12.80,－,0.22,12.77,2,12.83,2,0.00
="0056",高股息,"3,859,881","1,710","83,032,387",21.85,21.90,21.36,21.48,－,0.37,21.47,8,21.48,67,0.00
="0057",FB摩台,"12,000",12,"441,180",37.54,37.54,36.44,36.53,X,0.00,36.53,50,36.61,58,0.00
="0058",FB發達,"7,000",1,"244,650",34.95,34.95,34.95,34.95,,0.00,34.13,10,34.37,10,0.00
="0059",FB金融,0,0,0,--,--,--,--,,0.00,29.75,1,30.03,1,0.00
="0060",新台灣,"2,000",2,"54,510",27.39,27.39,27.12,27.12,－,0.86,27.10,1,27.27,8,0.00
="0061",寶滬深,"13,099,000","2,883","233,108,699",18.21,18.21,17.48,17.49,－,0.78,17.48,63,17.49,153,0.00
="006203",寶摩臺,0,0,0,--,--,--,--,,0.00,27.79,10,28.05,8,0.00
="006204",豐臺灣,"28,509",10,"1,152,257",40.43,40.43,40.40,40.40,X,0.00,40.35,1,40.40,15,0.00
="006205",FB上証,"11,775,106","3,244","365,320,670",31.94,31.95,30.47,30.48,－,1.53,30.47,21,30.48,19,0.00
="006206",元上證,"4,663,469",919,"133,122,424",29.40,29.46,27.92,28.04,－,1.44,28.03,11,28.04,21,0.00
="006207",FH滬深,"6,238,000","1,074","145,278,750",24.11,24.11,22.78,22.78,－,1.43,22.78,2,22.80,93,0.00
="006208",FB台50,0,0,0,--,--,--,--,,0.00,33.46,1,34.32,1,0.00
00631L,T50正2,"21,277,000","4,754","369,137,980",17.92,18.05,17.10,17.19,－,0.78,17.19,6,17.20,105,0.00
00632R,T50反1,"46,537,030","8,758","942,513,988",19.91,20.40,19.87,20.35,＋,0.44,20.34,50,20.35,70,0.00
00633L,上証2X,"134,794,121","24,413","4,526,840,966",35.40,35.44,31.96,32.00,－,3.45,32.00,862,32.03,4,0.00
00634R,上証反,"24,359,641","2,772","256,621,412",10.24,10.77,10.23,10.73,＋,0.52,10.73,12,10.74,240,0.00
00635U,元黃金,"157,300",66,"2,793,780",17.60,17.81,17.60,17.80,＋,0.03,17.77,1,17.80,2,0.00
="00636",CFA50,"6,628,200",592,"117,183,840",18.20,18.20,17.39,17.45,－,0.67,17.42,8,17.45,1,0.00
00637L,滬深2X,"177,702,038","21,369","2,212,210,639",13.04,13.08,11.92,11.92,－,1.17,11.92,1688,11.93,11,0.00
00638R,滬深反,"10,105,000",794,"196,732,350",19.01,19.96,19.01,19.95,＋,0.94,19.95,88,19.96,401,0.00
="00639",深100,"8,042,300","1,381","93,004,887",12.05,12.05,11.16,11.16,－,0.89,11.15,80,11.16,132,0.00
00640L,日本2X,"5,667,000",555,"115,718,560",20.96,21.11,19.99,20.21,－,0.77,20.21,309,20.23,2,0.00
00641R,日本反,"5,361,000",599,"103,495,460",19.12,19.56,19.06,19.47,＋,0.33,19.46,4,19.47,99,0.00
00642U,元石油,"11,518,899","2,361","194,501,093",16.71,16.95,16.71,16.95,＋,0.52,16.94,6,16.95,25,0.00
="00643",深中小,"6,781,000","1,345","127,025,950",19.37,19.37,18.20,18.20,－,1.23,18.20,29,18.21,11,0.00
="00645",FB日本,"1,926,000",94,"37,630,940",19.74,19.80,19.28,19.34,－,0.39,19.37,303,19.39,401,0.00
="00646",S&P500,"790,000",145,"15,723,050",20.06,20.06,19.76,19.79,－,0.27,19.79,12,19.81,203,0.00
00647L,S&P正2,"2,654,000",178,"52,352,290",20.04,20.04,19.49,19.53,－,0.65,19.53,298,19.57,604,0.00
00648R,S&P反1,"3,869,000",458,"77,783,700",19.99,20.23,19.94,20.22,＋,0.34,20.21,22,20.22,529,0.00
="008201",上證50,"32,400",110,"2,769,210",87.20,87.20,83.70,83.70,－,4.30,83.50,12,83.70,91,0.00
01001T,富邦R1,1,1,16,--,--,--,--,,0.00,15.89,2,16.07,8,0.00
01002T,國泰R1,"41,000",12,"719,220",17.59,17.59,17.29,17.50,－,0.22,17.30,3,17.50,5,0.00
01003T,新光R1,"154,000",30,"2,236,690",14.70,14.70,14.40,14.51,－,0.49,14.51,5,14.55,5,0.00
01004T,富邦R2,"66,000",18,"825,360",12.46,12.57,12.46,12.55,－,0.22,12.56,10,12.65,2,0.00
01007T,國泰R2,"24,000",6,"378,630",15.87,15.87,15.75,15.79,－,0.10,15.71,1,15.79,42,0.00
03001X,元展01,"10,000",7,"568,000",57.00,57.00,56.50,57.00,－,0.50,56.50,2,57.00,10,98.20
03002X,元展02,"8,000",6,"38,640",5.40,5.40,4.70,4.70,－,0.95,4.59,11,4.69,10,26.15
03003X,元展03,0,0,0,--,--,--,--,,0.00,46.50,10,46.80,10,139.50
03004X,元展04,"2,000",2,"11,600",5.80,5.80,5.80,5.80,X,0.00,5.70,10,5.80,10,17.50
="030055",中信3Y,0,0,0,--,--,--,--,,0.00,--,0,0.01,106,17.49
="030056",中信3Z,0,0,0,--,--,--,--,,0.00,--,0,0.01,1068,30.48
03005X,元展05,"13,000",4,"129,650",9.95,10.10,9.95,9.95,－,0.25,9.90,1,9.95,10,21.00
03006X,元展06,"13,000",6,"288,400",22.50,22.50,21.20,21.20,－,1.00,21.10,10,21.20,9,43.55
="030071",統一K8,"465,000",8,"4,650",0.01,0.01,0.01,0.01,,0.00,0.01,35,0.02,1346,59.55
03007X,元展07,"2,000",1,"16,400",8.20,8.20,8.20,8.20,－,0.25,8.10,1,8.15,10,16.40
03008X,元展08,"3,000",1,"47,700",15.90,15.90,15.90,15.90,－,1.30,15.30,10,15.60,10,51.70
="030090",1K元富,"200,000",2,"2,000",0.01,0.01,0.01,0.01,X,0.00,--,0,0.01,159,30.48
03009X,元展09,"2,000",1,"31,600",15.80,15.80,15.80,15.80,－,0.10,15.70,10,15.90,10,25.15
03010X,元展10,"19,000",11,"533,100",28.40,28.40,27.90,27.90,－,1.10,27.80,11,27.90,5,79.00
03011X,元展11,"152,000",8,"339,090",2.23,2.27,2.22,2.22,－,0.27,2.16,10,2.20,10,6.83
03012X,元展12,"17,000",6,"161,100",9.80,9.80,8.85,8.85,－,0.35,8.65,10,8.75,10,42.00
03013X,元展13,"45,000",4,"162,850",3.70,3.70,3.50,3.50,－,0.20,3.45,5,3.50,10,11.15
="030146",CA凱基,0,0,0,--,--,--,--,,0.00,--,0,0.01,137,63.00
03014X,元展14,0,0,0,--,--,--,--,,0.00,7.30,10,7.50,10,15.00
03015X,元展15,0,0,0,--,--,--,--,,0.00,10.70,10,10.90,10,18.75
="030160",國泰HI,"148,000",4,"2,960",0.02,0.02,0.02,0.02,,0.00,0.01,250,0.03,96,17.85
03016X,元展16,"56,000",7,"82,740",1.52,1.52,1.44,1.44,X,0.00,1.43,10,1.44,9,7.97
03017X,元展17,"5,000",4,"6,770",1.45,1.45,1.33,1.33,－,0.13,1.32,10,1.33,10,9.11
03018X,元展18,"1,000",1,"1,930",1.93,1.93,1.93,1.93,X,0.00,1.85,15,1.88,10,14.95
03019X,元展19,0,0,0,--,--,--,--,,0.00,1.65,10,1.67,10,13.50
03020X,元展20,0,0,0,--,--,--,--,,0.00,1.84,10,1.86,10,15.30
="030214",國泰HT,0,0,0,--,--,--,--,,0.00,--,0,0.01,7,53.40
="030216",國泰HV,"12,000",2,"36,940",3.17,3.17,2.95,2.95,－,0.28,2.75,180,2.85,10,45.85
="030218",國泰HX,"110,000",2,"3,300",0.03,0.03,0.03,0.03,－,0.15,0.02,30,0.05,30,27.60
03021X,元展21,"12,000",3,"99,100",8.20,8.40,8.20,8.40,X,0.00,8.45,10,8.55,10,26.25
03022X,富展01,0,0,0,--,--,--,--,,0.00,14.20,200,14.30,99,79.00
03023X,富展02,0,0,0,--,--,--,--,,0.00,17.90,200,18.00,50,30.48
03024X,富展03,"16,000",9,"402,600",25.50,25.50,24.80,24.90,X,0.00,24.30,20,24.90,11,139.50
03025X,元展22,"14,000",6,"204,900",14.90,14.90,14.50,14.50,X,0.00,14.50,499,14.60,499,59.55
03026X,元展23,"8,000",3,"40,500",5.05,5.10,5.05,5.10,－,0.20,4.91,100,4.93,100,17.49
03027X,元展24,"17,000",4,"160,200",9.60,9.60,9.40,9.40,－,0.80,9.30,100,9.40,100,30.48
="030288",統一L2,"1,000",1,450,0.45,0.45,0.45,0.45,X,0.00,0.43,1,0.51,10,130.00
03028X,元展25,0,0,0,--,--,--,--,,0.00,13.50,1,13.60,10,57.40
03029X,元展26,"9,000",2,"70,700",7.90,7.90,7.50,7.50,X,0.00,7.45,10,7.55,10,30.80
03030X,元展27,"2,000",1,"5,140",2.57,2.57,2.57,2.57,－,0.21,2.47,10,2.50,10,9.46
03031X,元展28,"10,000",1,"59,500",5.95,5.95,5.95,5.95,－,0.05,5.70,10,5.75,10,47.15
="030323",1Z元富,0,0,0,--,--,--,--,,0.00,0.01,25,0.10,10,30.48
="030324",2A元富,"725,000",14,"25,500",0.04,0.05,0.02,0.04,－,0.02,0.03,450,0.05,231,79.00
03032X,元展29,"1,000",1,"2,980",2.98,2.98,2.98,2.98,X,0.00,2.87,10,2.92,10,9.60
03033X,元展30,"12,000",3,"95,050",7.90,8.05,7.90,8.05,X,0.00,--,0,--,0,272.50
03034X,元展31,"173,000",16,"478,350",2.80,2.81,2.69,2.75,－,0.20,2.73,1,3.41,5,245.00
03035X,元展32,"2,000",2,"10,800",5.40,5.40,5.40,5.40,X,0.00,5.45,10,5.50,10,25.00
="030362",日盛J1,0,0,0,--,--,--,--,,0.00,--,0,--,0,80.50
03037X,元展34,0,0,0,--,--,--,--,,0.00,5.60,10,5.70,10,18.05
03038X,元展35,"1,000",1,"8,100",8.10,8.10,8.10,8.10,X,0.00,8.10,10,8.20,10,70.80
03039X,元展36,0,0,0,--,--,--,--,,0.00,4.74,10,4.79,10,262.00
03040X,元展37,0,0,0,--,--,--,--,,0.00,4.37,10,4.41,10,11.80
="030419",3F元富,"10,000",1,200,0.02,0.02,0.02,0.02,－,0.02,0.01,225,0.04,43,17.49
03041X,元展38,"5,000",4,"21,990",4.37,4.44,4.37,4.40,X,0.00,4.33,10,4.37,10,149.00
03042F,06群益,0,0,0,--,--,--,--,,0.00,0.34,100,0.35,100,0.00
03042X,元展39,0,0,0,--,--,--,--,,0.00,7.75,10,7.85,10,36.60
03043F,B5群益,0,0,0,--,--,--,--,,0.00,0.91,100,0.92,100,0.00
03043X,元展40,"21,000",4,"201,450",9.65,9.65,9.50,9.50,－,0.20,9.50,10,9.75,10,51.60
03044F,B6群益,0,0,0,--,--,--,--,,0.00,1.74,200,1.75,200,0.00
03044X,元展41,"9,000",5,"57,700",6.65,6.65,6.35,6.35,X,0.00,6.30,21,6.40,10,18.00
="030453",統一M1,"120,000",4,"12,300",0.10,0.11,0.10,0.10,X,0.00,0.06,10,0.10,10,28.04
03046X,元展43,"32,000",3,"99,720",3.36,3.36,2.96,2.96,－,0.48,2.90,10,2.92,10,50.60
03047X,元展44,"80,000",2,"116,800",1.47,1.47,1.45,1.45,－,0.08,1.37,10,1.38,10,7.20
03048X,元展45,"30,000",6,"61,770",2.14,2.14,2.04,2.04,－,0.12,2.00,10,2.02,12,15.45
03049X,元展46,"94,000",3,"247,260",2.66,2.66,2.62,2.62,X,0.00,2.69,10,2.71,10,47.50
03050X,元展47,"641,000",32,"1,691,610",2.74,2.74,2.60,2.60,－,0.13,2.59,10,2.61,10,41.90
03051X,元展48,"4,000",2,"40,300",10.00,10.10,10.00,10.10,X,0.00,10.00,10,10.10,10,53.90
="030529",統一M4,0,0,0,--,--,--,--,,0.00,0.01,2377,0.03,200,9.60
03052X,元展49,0,0,0,--,--,--,--,,0.00,9.80,10,9.90,10,72.40
="030535",統一N1,"68,000",2,680,0.01,0.01,0.01,0.01,,0.00,0.01,10,0.03,50,58.00
="030536",統一N2,0,0,0,--,--,--,--,,0.00,0.01,10,0.10,10,160.00
="030537",統一N3,"70,000",6,"47,900",0.70,0.70,0.68,0.68,X,0.00,0.66,20,0.70,10,383.00
03053X,元展50,"10,000",1,"52,000",5.20,5.20,5.20,5.20,X,0.00,5.15,10,5.20,10,98.00
03054X,元展51,"3,000",2,"25,450",8.50,8.50,8.45,8.45,－,0.35,8.55,10,8.60,10,66.20
="030557",3X元富,"175,000",1,"1,750",0.01,0.01,0.01,0.01,－,0.02,0.01,25,0.03,27,43.55
="030559",3Z元富,0,0,0,--,--,--,--,,0.00,--,0,0.04,499,139.50
03055X,元展52,0,0,0,--,--,--,--,,0.00,7.15,10,7.25,10,58.20
03057X,ML展02,"50,000",1,"182,500",3.65,3.65,3.65,3.65,X,0.00,3.61,25,3.70,25,11.85
03058X,元展53,"4,000",2,"77,400",19.40,19.40,19.30,19.30,X,0.00,19.20,10,19.40,10,139.50
03059X,元展54,"5,000",1,"43,500",8.70,8.70,8.70,8.70,－,0.30,8.55,10,8.65,10,18.15
03060X,元展55,0,0,0,--,--,--,--,,0.00,6.95,10,7.05,10,68.20
03061X,元展56,0,0,0,--,--,--,--,,0.00,24.60,10,24.80,10,98.20
03062X,元展57,0,0,0,--,--,--,--,,0.00,--,0,--,0,435.00
="030636",統一N4,"45,000",3,"2,250",0.05,0.05,0.05,0.05,－,0.04,0.06,10,0.10,85,139.50
="030638",統一N6,"130,000",1,"1,300",0.01,0.01,0.01,0.01,X,0.00,0.01,10,0.10,10,28.10
="030639",統一N7,"100,000",1,"1,000",0.01,0.01,0.01,0.01,－,0.03,0.01,10,0.04,10,28.10
03063X,元展58,"25,000",6,"332,100",13.80,13.80,12.80,12.80,－,1.10,12.60,10,12.80,10,"2,175.00"
03064X,元展59,0,0,0,--,--,--,--,,0.00,6.55,100,6.60,10,12.80
03065X,元展60,0,0,0,--,--,--,--,,0.00,12.50,10,12.70,10,26.15
="030665",日盛L2,0,0,0,--,--,--,--,,0.00,--,0,0.01,40,28.10
03066X,元展61,0,0,0,--,--,--,--,,0.00,5.10,10,5.20,10,9.46
="030679",4V元富,"340,000",4,"3,400",0.01,0.01,0.01,0.01,X,0.00,0.01,25,0.03,171,272.50
03067X,元展62,0,0,0,--,--,--,--,,0.00,9.90,10,10.00,10,71.20
="030680",4W元富,0,0,0,--,--,--,--,,0.00,0.57,25,0.59,25,435.00
03068X,元展63,0,0,0,--,--,--,--,,0.00,14.90,10,15.10,10,125.00
03069X,元展64,0,0,0,--,--,--,--,,0.00,12.60,10,12.70,10,51.70
="030706",03統一,"417,000",4,"4,320",0.01,0.02,0.01,0.02,＋,0.01,0.01,10,0.02,152,245.00
