105年02月01日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
="0053",寶電子,"4,000",2,"102,530",25.61,25.64,25.61,25.64,＋,0.09,25.68,8,25.77,1,0.00
="0054",台商50,0,0,0,--,--,--,--,,0.00,19.66,8,19.85,8,0.00
="0055",寶金融,"688,000",193,"8,340,720",12.20,12.21,12.06,12.11,－,0.06,12.11,154,12.13,2,0.00
="0056",高股息,"2,124,311",905,"45,758,881",21.56,21.62,21.41,21.58,＋,0.03,21.58,11,21.59,13,0.00
="0057",FB摩台,"1,000",1,"36,830",36.83,36.83,36.83,36.83,,0.00,36.83,50,36.92,58,0.00
="0058",FB發達,0,0,0,--,--,--,--,,0.00,34.46,10,34.71,10,0.00
="0059",FB金融,"2,000",2,"56,560",28.37,28.37,28.19,28.19,X,0.00,28.22,1,28.48,1,0.00
="0060",新台灣,"31,000",10,"829,560",28.33,28.33,26.55,26.69,－,0.09,26.79,10,26.90,5,0.00
="0061",寶滬深,"20,737,958","3,729","309,898,943",15.34,15.34,14.77,14.86,－,0.48,14.85,97,14.86,35,0.00
="006203",寶摩臺,0,0,0,--,--,--,--,,0.00,27.97,10,28.00,1,0.00
="006204",豐臺灣,"3,848",2,"155,238",40.27,40.27,40.27,40.27,X,0.00,40.24,15,40.47,15,0.00
="006205",FB上証,"14,544,280","2,855","373,704,502",26.29,26.30,25.31,25.46,－,1.01,25.46,10,25.48,2,0.00
="006206",元上證,"5,664,197","1,228","138,074,156",25.12,25.12,24.04,24.21,－,0.94,24.20,29,24.21,49,0.00
="006207",FH滬深,"2,519,200",507,"48,760,626",19.76,19.82,19.12,19.26,－,0.56,19.26,10,19.30,84,0.00
="006208",FB台50,"2,000",2,"67,560",33.68,33.88,33.68,33.88,＋,0.31,33.50,5,34.00,2,0.00
00631L,T50正2,"9,770,877","1,819","168,317,031",17.39,17.39,17.10,17.27,－,0.06,17.26,558,17.27,8,0.00
00632R,T50反1,"20,782,449","3,574","418,059,500",20.03,20.20,20.03,20.09,＋,0.08,20.09,101,20.10,943,0.00
00633L,上証2X,"146,384,000","23,453","3,676,302,478",25.98,26.10,24.40,24.52,－,1.82,24.52,1522,24.53,6,0.00
00634R,上証反,"13,766,100","1,231","163,686,434",11.71,12.10,11.67,11.98,＋,0.42,11.98,64,12.00,8,0.00
00635U,元黃金,"618,000",205,"11,593,500",18.60,18.82,18.60,18.78,＋,0.18,18.77,2,18.78,19,0.00
="00636",CFA50,"4,926,000",539,"75,228,730",15.58,15.58,15.05,15.10,－,0.58,15.10,59,15.12,1,0.00
00637L,滬深2X,"221,100,312","20,692","2,066,196,569",9.64,9.72,9.08,9.14,－,0.65,9.13,3195,9.14,112,0.00
00638R,滬深反,"2,285,000",302,"50,694,980",21.89,22.56,21.76,22.41,＋,0.71,22.41,454,22.42,1,0.00
="00639",深100,"2,813,000",637,"26,706,340",9.70,9.70,9.35,9.43,－,0.26,9.42,20,9.43,40,0.00
00640L,日本2X,"8,922,000","1,070","163,786,160",18.29,18.55,18.16,18.40,＋,0.06,18.40,99,18.41,3,0.00
00641R,日本反,"4,107,485",450,"82,234,275",20.11,20.13,19.91,20.00,＋,0.07,19.98,54,20.00,49,0.00
00642U,元石油,"26,102,131","4,811","408,241,819",15.76,15.76,15.56,15.63,－,0.11,15.62,339,15.63,140,0.00
="00643",深中小,"3,770,000",462,"55,449,960",14.95,15.00,14.51,14.55,－,0.38,14.55,117,14.56,19,0.00
="00645",FB日本,"1,816,000",181,"33,573,560",18.42,18.60,18.39,18.52,＋,0.12,18.52,40,18.53,5,0.00
="00646",S&P500,"1,876,465",116,"35,998,172",19.22,19.22,19.13,19.17,－,0.11,19.16,207,19.17,164,0.00
00647L,S&P正2,"1,817,000",126,"32,525,730",17.97,17.97,17.83,17.88,－,0.12,17.88,197,17.90,7,0.00
00648R,S&P反1,"2,336,460",260,"49,985,605",21.37,21.45,21.36,21.38,＋,0.02,21.37,54,21.38,7,0.00
="00649",FH香港,"2,968,000",261,"44,663,440",15.00,15.10,14.90,14.96,－,0.11,14.96,43,14.98,110,0.00
00650L,香港2X,"1,416,000",206,"21,755,670",15.55,15.58,15.16,15.31,－,0.24,15.31,49,15.33,2,0.00
