105年02月01日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
="037353",A8群益,"5,000",1,800,0.16,0.16,0.16,0.16,－,0.05,0.15,25,0.16,10,25.46
="037354",A9群益,"203,000",3,"184,730",0.93,0.93,0.90,0.90,－,0.10,0.94,25,0.95,10,17.27
="037355",B1群益,0,0,0,--,--,--,--,,0.00,0.88,25,0.89,10,15.10
="037356",B2群益,0,0,0,--,--,--,--,,0.00,0.53,25,0.54,10,15.10
="037357",B3群益,0,0,0,--,--,--,--,,0.00,0.39,25,0.40,10,15.10
="037358",D8國泰,0,0,0,--,--,--,--,,0.00,0.53,499,0.57,10,138.00
="037359",D9國泰,"127,000",13,"154,130",1.23,1.24,1.15,1.18,－,0.16,1.17,440,1.19,15,52.20
="037360",E1國泰,"138,000",9,"282,850",2.05,2.25,2.00,2.03,－,0.20,2.00,15,2.03,10,27.50
="037361",E2國泰,0,0,0,--,--,--,--,,0.00,0.33,499,0.34,100,15.10
="037362",E3國泰,0,0,0,--,--,--,--,,0.00,0.26,499,0.27,50,15.10
="037363",E4國泰,0,0,0,--,--,--,--,,0.00,5.80,100,--,0,76.50
="037364",7M富邦,"220,000",9,"377,660",1.67,1.74,1.65,1.73,＋,0.08,1.73,3,--,0,79.50
="037365",7N富邦,"124,000",4,"101,000",0.72,0.82,0.72,0.81,＋,0.01,0.80,10,0.81,7,79.50
="037366",7P富邦,0,0,0,--,--,--,--,,0.00,0.19,10,0.20,10,55.60
="037367",7Q富邦,"791,000",3,"102,840",0.14,0.14,0.13,0.13,X,0.00,0.13,10,0.14,10,17.30
="037368",7R富邦,0,0,0,--,--,--,--,,0.00,0.47,15,0.48,10,15.10
="037369",7S富邦,0,0,0,--,--,--,--,,0.00,0.30,15,0.31,10,15.10
="037370",7T富邦,0,0,0,--,--,--,--,,0.00,0.55,15,0.56,10,15.10
="037371",元富B3,0,0,0,--,--,--,--,,0.00,0.35,25,0.36,25,15.10
="037372",元富B4,0,0,0,--,--,--,--,,0.00,0.23,25,0.24,25,15.10
="037373",元富B5,"80,000",7,"108,300",1.32,1.41,1.32,1.36,＋,0.19,1.40,25,1.41,25,14.00
="037374",元富B7,0,0,0,--,--,--,--,,0.00,0.41,25,0.42,25,79.50
="037375",元富B8,"5,000",1,"4,200",0.84,0.84,0.84,0.84,X,0.00,0.84,25,0.85,25,144.00
="037376",元富B9,0,0,0,--,--,--,--,,0.00,--,0,--,0,38.40
="037377",元富C1,0,0,0,--,--,--,--,,0.00,0.03,25,0.04,25,252.00
="037378",B7群益,0,0,0,--,--,--,--,,0.00,0.43,25,0.44,10,77.70
="037379",B8群益,"20,000",1,"3,600",0.18,0.18,0.18,0.18,＋,0.01,0.18,25,0.19,10,77.70
="037380",B9群益,0,0,0,--,--,--,--,,0.00,0.05,25,0.10,10,77.70
="037381",C1群益,"1,992,000",32,"572,290",0.33,0.33,0.25,0.32,－,0.08,0.26,19,0.32,45,210.00
="037382",C2群益,"469,000",12,"62,980",0.14,0.15,0.11,0.11,－,0.11,0.11,22,0.20,10,210.00
="037383",C3群益,0,0,0,--,--,--,--,,0.00,0.06,25,0.16,10,210.00
="037384",XH元大,0,0,0,--,--,--,--,,0.00,6.10,100,6.45,10,55.50
="037385",XI元大,"162,000",2,"34,020",0.21,0.21,0.21,0.21,X,0.00,0.22,100,0.23,100,23.70
="037386",XJ元大,"235,000",6,"131,500",0.58,0.60,0.54,0.57,＋,0.16,0.63,100,0.64,50,76.60
="037387",XK元大,0,0,0,--,--,--,--,,0.00,1.48,100,1.52,50,155.50
="037388",XL元大,0,0,0,--,--,--,--,,0.00,2.05,100,2.07,10,55.50
="037389",凱基GA,0,0,0,--,--,--,--,,0.00,0.17,30,0.18,30,53.70
="037390",凱基GB,0,0,0,--,--,--,--,,0.00,0.10,30,0.11,30,11.35
="037391",凱基GC,"300,000",3,"95,000",0.32,0.32,0.31,0.31,－,0.06,0.30,30,0.32,30,158.50
="037392",凱基GD,0,0,0,--,--,--,--,,0.00,1.69,30,1.75,30,220.50
="037393",凱基GE,"150,000",4,"227,500",1.50,1.55,1.50,1.50,＋,0.04,1.57,30,1.63,30,35.55
="037394",凱基GF,0,0,0,--,--,--,--,,0.00,1.52,30,1.62,30,14.00
="037395",凱基GG,"1,000",1,440,0.44,0.44,0.44,0.44,X,0.00,0.41,30,0.43,30,15.10
="037396",凱基GH,0,0,0,--,--,--,--,,0.00,0.99,30,1.05,30,205.50
="037397",凱基GJ,"10,000",1,"5,200",0.52,0.52,0.52,0.52,－,0.02,0.49,30,0.50,30,9.93
="037398",凱基GL,"30,000",3,"114,700",3.78,3.88,3.78,3.88,＋,0.44,3.88,30,3.93,30,57.50
="037399",凱基GQ,0,0,0,--,--,--,--,,0.00,0.45,30,0.48,30,23.00
="037400",日盛36,0,0,0,--,--,--,--,,0.00,0.52,25,0.53,25,0.00
="037401",玉山LU,0,0,0,--,--,--,--,,0.00,0.01,10,0.02,30,0.00
="037402",E5國泰,0,0,0,--,--,--,--,,0.00,--,0,--,0,63.10
="037403",E6國泰,0,0,0,--,--,--,--,,0.00,0.49,499,0.50,30,15.10
="037404",E7國泰,"113,000",9,"25,930",0.26,0.26,0.22,0.22,－,0.06,0.20,599,0.21,10,158.00
="037405",7V富邦,0,0,0,--,--,--,--,,0.00,0.54,10,0.55,10,11.98
="037406",7W富邦,0,0,0,--,--,--,--,,0.00,0.44,10,0.45,10,11.98
="037407",兆豐KP,0,0,0,--,--,--,--,,0.00,1.21,10,1.26,10,205.50
="037408",兆豐KQ,"66,000",6,"45,410",0.66,0.72,0.66,0.67,＋,0.01,0.67,11,0.68,10,8.85
="037409",兆豐KR,"20,000",2,"1,300",0.07,0.07,0.06,0.06,－,0.03,0.06,10,0.08,10,37.00
="037410",兆豐KS,0,0,0,--,--,--,--,,0.00,--,0,0.02,10,15.85
="037411",兆豐KT,0,0,0,--,--,--,--,,0.00,--,0,0.03,10,55.60
="037412",兆豐KU,0,0,0,--,--,--,--,,0.00,--,0,0.02,10,40.10
="037413",兆豐KV,"63,000",51,"26,900",0.58,0.58,0.36,0.43,＋,0.06,0.43,9,0.46,10,18.00
="037414",兆豐KW,0,0,0,--,--,--,--,,0.00,0.09,10,0.18,10,8.00
="037415",兆豐KX,"20,000",2,"45,100",2.21,2.30,2.21,2.30,＋,0.28,2.24,10,2.30,10,14.00
="037416",兆豐KY,0,0,0,--,--,--,--,,0.00,3.40,10,--,0,23.50
="037417",兆豐KZ,0,0,0,--,--,--,--,,0.00,2.97,10,--,0,175.00
="037418",兆豐LA,0,0,0,--,--,--,--,,0.00,3.16,10,3.24,10,135.50
="037419",兆豐LB,0,0,0,--,--,--,--,,0.00,0.39,10,0.40,10,20.15
="037420",IT永豐,0,0,0,--,--,--,--,,0.00,0.54,10,0.55,10,143.00
="037421",IU永豐,"813,000",9,"94,590",0.11,0.12,0.11,0.12,X,0.00,0.11,10,0.12,10,477.00
="037422",IV永豐,"20,000",1,"16,600",0.83,0.83,0.83,0.83,＋,0.04,0.80,10,0.81,10,144.00
="037423",IW永豐,0,0,0,--,--,--,--,,0.00,0.04,10,0.05,10,19.05
="037424",IX永豐,0,0,0,--,--,--,--,,0.00,0.30,10,0.31,10,51.50
="037425",IY永豐,"10,000",1,800,0.08,0.08,0.08,0.08,－,0.05,0.07,10,0.08,10,210.00
="037426",IZ永豐,0,0,0,--,--,--,--,,0.00,2.85,10,2.95,10,76.50
="037427",JA永豐,0,0,0,--,--,--,--,,0.00,2.37,10,2.44,10,316.00
="037428",台新1H,0,0,0,--,--,--,--,,0.00,4.32,10,--,0,175.00
="037429",台新1I,"135,000",7,"42,000",0.33,0.34,0.28,0.28,－,0.06,0.27,10,0.28,10,158.00
="037430",台新1J,"60,000",3,"25,000",0.33,0.43,0.33,0.43,＋,0.12,0.40,10,0.43,10,74.20
="037431",台新1K,"63,000",9,"52,770",0.85,0.86,0.81,0.82,－,0.05,0.82,10,0.83,10,17.27
="037432",台新1L,0,0,0,--,--,--,--,,0.00,0.25,10,0.26,10,15.10
="037433",台新1M,0,0,0,--,--,--,--,,0.00,0.44,10,0.45,10,15.10
="037434",台新1N,0,0,0,--,--,--,--,,0.00,0.95,10,0.99,10,131.00
="037435",E9國泰,0,0,0,--,--,--,--,,0.00,0.28,499,0.29,150,176.50
="037436",F1國泰,0,0,0,--,--,--,--,,0.00,0.10,499,0.11,100,40.10
="037437",F2國泰,"673,000",23,"528,330",0.64,0.86,0.64,0.81,＋,0.18,0.80,499,0.81,197,74.20
="037438",7X富邦,"32,000",4,"1,280",0.04,0.04,0.04,0.04,,0.00,0.03,10,0.06,43,225.50
="037439",7Y富邦,0,0,0,--,--,--,--,,0.00,0.15,10,0.16,10,46.50
="037440",日盛40,0,0,0,--,--,--,--,,0.00,1.23,25,1.29,10,144.00
="037441",日盛41,0,0,0,--,--,--,--,,0.00,1.87,25,1.96,25,316.00
="037442",凱基GS,0,0,0,--,--,--,--,,0.00,2.11,30,2.16,30,70.20
="037443",凱基GT,0,0,0,--,--,--,--,,0.00,0.01,30,0.02,30,64.70
="037444",元富C3,0,0,0,--,--,--,--,,0.00,0.33,25,0.34,25,51.50
="037445",元富C4,0,0,0,--,--,--,--,,0.00,0.03,50,--,0,8.11
="037446",元富C5,"1,042,000",20,"170,830",0.21,0.21,0.16,0.16,－,0.08,0.16,25,0.17,50,24.52
="037447",D2群益,"86,000",6,"139,750",1.10,1.89,1.10,1.85,－,0.11,1.84,25,1.86,10,17.27
="037448",D3群益,"1,000",1,420,0.42,0.42,0.42,0.42,＋,0.01,0.40,25,0.41,10,20.09
="037449",D4群益,"20,000",1,"2,400",0.12,0.12,0.12,0.12,－,0.03,0.11,25,0.12,10,252.00
="037450",D5群益,0,0,0,--,--,--,--,,0.00,0.01,25,0.10,10,252.00
="037451",D6群益,0,0,0,--,--,--,--,,0.00,--,0,--,0,252.00
="037452",D7群益,"82,000",2,"231,300",2.85,2.85,2.73,2.73,－,0.01,2.52,25,2.54,10,86.60
="037453",XV元大,"463,000",16,"348,620",0.75,0.78,0.72,0.78,＋,0.08,0.78,100,0.80,30,144.00
="037454",XW元大,"110,000",2,"108,500",0.95,0.99,0.95,0.99,＋,0.10,0.99,100,1.00,40,144.00
="037455",XX元大,0,0,0,--,--,--,--,,0.00,--,0,0.01,40,252.00
="037456",XY元大,0,0,0,--,--,--,--,,0.00,--,0,0.01,49,252.00
="037457",XZ元大,0,0,0,--,--,--,--,,0.00,0.16,100,0.17,100,477.00
="037458",YA元大,0,0,0,--,--,--,--,,0.00,0.13,100,0.14,100,8.85
="037459",YB元大,"499,000",1,"229,540",0.46,0.46,0.46,0.46,－,0.13,0.50,100,0.51,100,19.00
="037460",YC元大,0,0,0,--,--,--,--,,0.00,0.15,100,0.16,50,46.50
="037461",JC永豐,0,0,0,--,--,--,--,,0.00,0.65,10,0.67,10,18.70
="037462",JD永豐,0,0,0,--,--,--,--,,0.00,0.15,10,0.16,10,7.86
="037463",JE永豐,0,0,0,--,--,--,--,,0.00,0.09,10,0.10,10,70.10
="037464",JF永豐,0,0,0,--,--,--,--,,0.00,0.10,10,0.11,10,46.50
="037465",JG永豐,0,0,0,--,--,--,--,,0.00,0.41,10,0.42,10,21.95
="037466",JH永豐,"10,000",1,"5,700",0.57,0.57,0.57,0.57,,0.00,0.54,10,0.55,10,52.30
="037467",JI永豐,0,0,0,--,--,--,--,,0.00,0.04,10,0.05,10,176.50
="037468",JJ永豐,0,0,0,--,--,--,--,,0.00,0.39,10,0.40,10,80.50
="037469",JK永豐,0,0,0,--,--,--,--,,0.00,--,0,0.01,10,252.00
="037470",JL永豐,0,0,0,--,--,--,--,,0.00,0.31,10,0.32,10,0.00
="037471",台新1P,"80,000",5,"45,300",0.47,0.60,0.47,0.59,X,0.00,0.57,10,0.58,10,76.60
="037472",N2中信,0,0,0,--,--,--,--,,0.00,0.24,30,0.25,30,15.10
="037473",N3中信,0,0,0,--,--,--,--,,0.00,0.29,30,0.30,30,15.10
="037474",N4中信,0,0,0,--,--,--,--,,0.00,0.70,499,0.71,299,0.00
="037475",YJ元大,0,0,0,--,--,--,--,,0.00,--,0,0.02,100,64.30
="037476",YK元大,0,0,0,--,--,--,--,,0.00,2.13,495,2.14,495,0.00
="037477",YL元大,0,0,0,--,--,--,--,,0.00,1.04,495,1.05,495,0.00
="037478",YM元大,0,0,0,--,--,--,--,,0.00,1.63,495,1.64,495,0.00
="037479",YN元大,"693,000",5,"48,010",0.07,0.07,0.06,0.07,－,0.01,0.06,150,0.07,100,252.00
="037480",YP元大,"200,000",2,"68,240",0.34,0.35,0.34,0.35,－,0.03,0.30,100,0.31,100,39.60
="037481",YQ元大,"10,000",1,"3,100",0.31,0.31,0.31,0.31,＋,0.03,0.29,100,0.30,100,184.50
="037482",YR元大,"1,000",1,800,0.80,0.80,0.80,0.80,X,0.00,0.80,495,0.81,495,59.55
="037483",YS元大,0,0,0,--,--,--,--,,0.00,--,0,0.02,100,19.05
="037484",LM第一,0,0,0,--,--,--,--,,0.00,0.03,10,0.10,10,210.00
="037485",EZ統一,"200,000",3,"22,000",0.11,0.11,0.11,0.11,－,0.02,0.11,10,0.12,10,252.00
="037486",FA統一,0,0,0,--,--,--,--,,0.00,0.19,20,0.20,20,176.50
="037487",FB統一,"730,000",13,"310,780",0.42,0.45,0.39,0.45,－,0.04,0.44,20,0.45,20,59.55
="037488",日盛42,0,0,0,--,--,--,--,,0.00,0.25,25,0.26,25,70.30
="037489",凱基GW,"430,000",3,"129,300",0.30,0.31,0.30,0.31,X,0.00,0.30,30,0.31,30,0.00
="037490",凱基GX,"130,000",3,"86,900",0.68,0.68,0.65,0.65,X,0.00,0.70,30,0.71,30,0.00
="037491",凱基GY,0,0,0,--,--,--,--,,0.00,4.26,30,4.36,30,28.45
="037492",凱基GZ,0,0,0,--,--,--,--,,0.00,1.83,30,1.93,30,51.90
="037493",凱基HA,0,0,0,--,--,--,--,,0.00,0.04,60,0.05,30,128.00
="037494",凱基HB,0,0,0,--,--,--,--,,0.00,1.78,30,1.88,30,316.00
="037495",凱基HD,"90,000",4,"41,640",0.45,0.47,0.43,0.45,－,0.11,0.49,30,0.50,30,59.55
="037496",E2群益,"37,000",6,"19,120",0.47,0.54,0.47,0.48,－,0.09,0.51,25,0.52,10,59.55
="037497",E3群益,"74,000",6,"57,920",0.77,0.82,0.76,0.81,－,0.07,0.80,25,0.81,10,17.27
="037498",E4群益,0,0,0,--,--,--,--,,0.00,0.85,25,0.86,10,20.09
="037499",E5群益,"100,000",1,"35,000",0.35,0.35,0.35,0.35,,0.00,0.36,25,0.37,10,79.50
="037500",E6群益,0,0,0,--,--,--,--,,0.00,0.19,25,0.20,10,11.35
="037501",E7群益,0,0,0,--,--,--,--,,0.00,0.06,25,0.10,10,11.35
="037502",E8群益,"200,000",1,"76,000",0.38,0.38,0.38,0.38,X,0.00,0.38,25,0.39,10,74.20
="037503",F4國泰,0,0,0,--,--,--,--,,0.00,0.08,499,0.11,200,252.00
="037504",F5國泰,"40,000",1,"7,600",0.19,0.19,0.19,0.19,－,0.06,0.18,200,0.19,50,210.00
="037505",7Z富邦,"489,000",5,"78,240",0.16,0.16,0.16,0.16,－,0.03,0.15,50,0.17,50,252.00
="037506",8A富邦,0,0,0,--,--,--,--,,0.00,0.39,10,0.40,10,25.46
="037507",JM永豐,0,0,0,--,--,--,--,,0.00,0.06,10,0.07,10,8.14
="037508",JN永豐,0,0,0,--,--,--,--,,0.00,0.30,10,0.32,10,27.50
="037509",JP永豐,0,0,0,--,--,--,--,,0.00,1.08,10,1.09,10,42.00
="037510",JQ永豐,0,0,0,--,--,--,--,,0.00,0.07,10,0.08,10,23.70
="037511",JR永豐,0,0,0,--,--,--,--,,0.00,0.08,10,0.09,10,15.00
="037512",JS永豐,0,0,0,--,--,--,--,,0.00,--,0,0.01,10,38.40
="037513",JT永豐,0,0,0,--,--,--,--,,0.00,0.06,10,0.07,10,10.90
="037514",JU永豐,0,0,0,--,--,--,--,,0.00,0.03,10,0.04,10,77.70
="037515",JV永豐,0,0,0,--,--,--,--,,0.00,--,0,0.03,10,64.30
="037516",JW永豐,0,0,0,--,--,--,--,,0.00,0.58,10,0.59,10,39.70
="037517",台新1Q,0,0,0,--,--,--,--,,0.00,--,0,0.10,10,12.05
="037518",元富C8,0,0,0,--,--,--,--,,0.00,0.13,25,0.18,10,210.00
="037519",元富C9,0,0,0,--,--,--,--,,0.00,4.86,25,4.96,10,30.00
="037520",元富D1,0,0,0,--,--,--,--,,0.00,--,0,--,0,252.00
="037521",元富D2,0,0,0,--,--,--,--,,0.00,--,0,--,0,38.40
="037522",元富D3,0,0,0,--,--,--,--,,0.00,0.26,25,0.27,25,59.55
="037523",兆豐LF,"43,000",7,"12,320",0.34,0.34,0.28,0.28,－,0.18,0.27,10,0.32,10,210.00
="037524",兆豐LG,"50,000",6,"8,800",0.22,0.22,0.15,0.15,－,0.16,0.14,10,0.17,10,210.00
="037525",兆豐LH,"63,000",8,"46,350",0.75,0.75,0.71,0.71,－,0.01,0.70,10,0.71,8,9.62
="037526",兆豐LJ,0,0,0,--,--,--,--,,0.00,--,0,--,0,41.20
="037527",兆豐LK,0,0,0,--,--,--,--,,0.00,0.06,10,0.08,10,8.11
="037528",兆豐LL,0,0,0,--,--,--,--,,0.00,--,0,0.06,10,252.00
="037529",兆豐LM,0,0,0,--,--,--,--,,0.00,0.08,10,0.09,10,252.00
="037530",兆豐LN,"20,000",2,"5,500",0.27,0.28,0.27,0.28,－,0.04,0.30,10,0.31,10,23.70
="037531",兆豐LP,0,0,0,--,--,--,--,,0.00,0.71,10,0.72,10,80.50
="037532",兆豐LQ,0,0,0,--,--,--,--,,0.00,0.04,10,0.06,10,8.85
="037533",兆豐LR,0,0,0,--,--,--,--,,0.00,0.39,10,0.40,10,19.05
="037534",兆豐LS,0,0,0,--,--,--,--,,0.00,1.60,10,1.65,10,86.60
="037535",兆豐LT,0,0,0,--,--,--,--,,0.00,1.08,10,1.16,10,27.50
="037536",兆豐LZ,"70,000",7,"64,200",0.93,0.94,0.88,0.94,＋,0.11,0.96,10,0.99,10,144.00
="037537",兆豐MA,"10,000",1,"7,400",0.74,0.74,0.74,0.74,－,0.09,0.71,10,0.72,10,52.20
="037538",兆豐MB,"45,000",2,"21,150",0.47,0.47,0.47,0.47,＋,0.04,0.49,10,0.50,10,77.70
="037539",兆豐MC,0,0,0,--,--,--,--,,0.00,--,0,0.10,31,6.38
="037540",兆豐MD,0,0,0,--,--,--,--,,0.00,0.19,10,0.20,10,138.00
="037541",兆豐ME,0,0,0,--,--,--,--,,0.00,--,0,0.03,10,38.40
="037542",兆豐MF,0,0,0,--,--,--,--,,0.00,0.03,10,0.04,10,10.80
="037543",兆豐MG,0,0,0,--,--,--,--,,0.00,0.82,10,0.83,10,19.00
="037544",兆豐MH,0,0,0,--,--,--,--,,0.00,--,0,0.03,10,64.70
="037545",兆豐MJ,"40,000",2,"63,100",1.57,1.58,1.57,1.58,－,0.04,1.50,10,1.59,10,69.50
="037546",兆豐MK,0,0,0,--,--,--,--,,0.00,1.89,10,1.94,10,70.20
="037547",兆豐ML,0,0,0,--,--,--,--,,0.00,0.06,10,0.09,10,17.30
="037548",兆豐MM,"20,000",2,"22,200",1.09,1.13,1.09,1.13,＋,0.03,1.17,10,1.22,10,23.00
="037549",兆豐MN,0,0,0,--,--,--,--,,0.00,0.04,10,0.05,20,71.00
="037550",KA永豐,"80,000",3,"5,600",0.07,0.07,0.07,0.07,X,0.00,0.06,10,0.07,10,20.09
="037551",KB永豐,0,0,0,--,--,--,--,,0.00,0.03,10,0.04,10,79.50
="037552",KC永豐,0,0,0,--,--,--,--,,0.00,0.08,10,0.09,10,15.35
="037553",KD永豐,"219,000",4,"45,020",0.22,0.22,0.19,0.19,－,0.12,0.18,10,0.19,10,39.50
="037554",KE永豐,0,0,0,--,--,--,--,,0.00,0.01,10,0.02,10,210.00
="037555",KF永豐,"270,000",7,"68,090",0.27,0.27,0.24,0.24,X,0.00,0.23,10,0.24,10,11.45
="037556",KG永豐,0,0,0,--,--,--,--,,0.00,0.24,10,0.25,10,34.65
="037557",KH永豐,0,0,0,--,--,--,--,,0.00,0.08,10,0.09,10,59.55
="037558",KI永豐,"5,000",1,"1,550",0.31,0.31,0.31,0.31,X,0.00,0.28,10,0.29,10,30.35
="037559",KJ永豐,0,0,0,--,--,--,--,,0.00,0.50,10,0.51,10,192.50
="037560",KK永豐,0,0,0,--,--,--,--,,0.00,--,0,0.01,10,40.10
="037561",康和N1,0,0,0,--,--,--,--,,0.00,0.04,10,0.10,10,59.55
="037562",元富D7,0,0,0,--,--,--,--,,0.00,0.26,50,0.27,25,158.00
="037563",元富D8,"300,000",1,"21,000",0.07,0.07,0.07,0.07,X,0.00,0.05,25,0.06,25,56.50
="037564",元富D9,0,0,0,--,--,--,--,,0.00,0.34,25,0.35,25,34.65
="037565",元富E1,0,0,0,--,--,--,--,,0.00,0.08,25,0.09,25,25.46
="037566",YT元大,0,0,0,--,--,--,--,,0.00,0.06,100,0.10,100,71.00
="037567",YU元大,0,0,0,--,--,--,--,,0.00,4.58,100,4.67,10,85.80
="037568",YV元大,"118,000",3,"36,160",0.32,0.32,0.30,0.30,－,0.10,0.29,100,0.30,10,39.50
="037569",YW元大,0,0,0,--,--,--,--,,0.00,0.02,100,0.03,100,74.20
="037570",YX元大,"80,000",8,"35,190",0.41,0.49,0.41,0.42,＋,0.09,0.39,499,0.40,50,11.45
="037571",YY元大,0,0,0,--,--,--,--,,0.00,2.56,100,2.66,10,28.35
="037572",YZ元大,0,0,0,--,--,--,--,,0.00,0.02,100,0.07,30,25.46
="037573",F3群益,"385,000",9,"135,850",0.39,0.39,0.31,0.31,－,0.16,0.31,25,0.32,10,25.46
="037574",F4群益,0,0,0,--,--,--,--,,0.00,--,0,--,0,225.50
="037575",F5群益,0,0,0,--,--,--,--,,0.00,0.01,25,0.11,10,210.00
="037576",F6群益,0,0,0,--,--,--,--,,0.00,0.04,25,0.10,10,40.10
="037577",日盛43,0,0,0,--,--,--,--,,0.00,0.28,25,0.29,25,7.86
="037578",日盛44,0,0,0,--,--,--,--,,0.00,0.16,25,0.17,25,23.70
="037579",日盛45,0,0,0,--,--,--,--,,0.00,1.02,25,1.04,25,192.50
="037580",日盛46,"10,000",1,400,0.04,0.04,0.04,0.04,X,0.00,0.03,25,0.04,25,20.09
="037581",凱基HF,"60,000",1,"12,000",0.20,0.20,0.20,0.20,X,0.00,0.37,30,0.39,30,76.60
="037582",凱基HG,0,0,0,--,--,--,--,,0.00,0.77,30,0.78,30,59.55
="037583",凱基HH,0,0,0,--,--,--,--,,0.00,1.74,30,1.84,30,136.00
="037584",凱基HJ,0,0,0,--,--,--,--,,0.00,0.06,30,0.09,50,252.00
="037585",凱基HL,0,0,0,--,--,--,--,,0.00,0.12,60,0.15,30,252.00
="037586",凱基HM,0,0,0,--,--,--,--,,0.00,0.14,30,0.17,30,252.00
="037587",凱基HP,0,0,0,--,--,--,--,,0.00,0.01,30,0.06,30,71.00
="037588",凱基HQ,0,0,0,--,--,--,--,,0.00,0.04,30,0.05,30,20.09
="037589",凱基HR,0,0,0,--,--,--,--,,0.00,1.32,30,1.33,30,25.46
="037590",凱基HS,"10,000",1,"2,900",0.29,0.29,0.29,0.29,X,0.00,0.22,30,0.23,30,158.00
="037591",玉山LV,"120,000",2,"45,000",0.37,0.40,0.37,0.40,－,0.03,0.29,10,0.30,10,0.00
="037592",玉山LW,0,0,0,--,--,--,--,,0.00,0.01,10,0.10,10,0.00
="037593",玉山LX,"50,000",2,"32,850",0.63,0.66,0.63,0.66,＋,0.03,0.64,13,0.66,13,0.00
="037594",玉山LY,0,0,0,--,--,--,--,,0.00,0.01,1011,0.05,40,0.00
="037595",玉山LZ,0,0,0,--,--,--,--,,0.00,0.01,10,0.10,10,0.00
="037596",F8國泰,"283,000",9,"167,360",0.60,0.61,0.53,0.55,－,0.14,0.54,499,0.55,399,25.46
="037597",LP第一,"657,000",9,"353,550",0.49,0.56,0.49,0.55,＋,0.06,0.55,10,0.57,10,74.20
="037598",FD統一,0,0,0,--,--,--,--,,0.00,0.09,10,0.10,10,71.00
="037599",FE統一,"165,000",4,"28,530",0.16,0.19,0.16,0.17,＋,0.03,0.17,20,0.18,20,74.20
="037600",FF統一,"4,000",2,400,0.10,0.10,0.10,0.10,X,0.00,0.08,20,0.10,30,25.46
="037601",G8群益,0,0,0,--,--,--,--,,0.00,0.03,25,0.13,10,210.00
="037602",元富E6,"23,000",5,"3,950",0.17,0.18,0.15,0.15,－,0.01,0.14,25,0.15,254,0.00
="037603",元富E7,0,0,0,--,--,--,--,,0.00,0.03,25,0.04,25,79.50
="037604",元富E8,0,0,0,--,--,--,--,,0.00,2.77,25,2.85,20,76.50
="037605",元富E9,0,0,0,--,--,--,--,,0.00,0.09,25,0.10,25,225.50
="037606",元富F1,0,0,0,--,--,--,--,,0.00,0.27,25,0.28,25,477.00
="037607",元富F2,0,0,0,--,--,--,--,,0.00,0.01,25,0.04,25,40.10
="037608",元富F3,0,0,0,--,--,--,--,,0.00,0.04,25,0.05,25,74.20
="037609",元富F4,0,0,0,--,--,--,--,,0.00,0.38,25,0.39,25,76.60
="037610",元富F5,0,0,0,--,--,--,--,,0.00,0.18,25,0.19,25,14.86
="037611",玉山MA,0,0,0,--,--,--,--,,0.00,0.23,499,0.24,499,0.00
="037612",玉山MB,0,0,0,--,--,--,--,,0.00,0.01,499,0.02,599,0.00
="037613",F9國泰,0,0,0,--,--,--,--,,0.00,0.16,499,0.17,10,20.09
="037614",8C富邦,0,0,0,--,--,--,--,,0.00,0.02,20,0.10,10,40.10
="037615",N6中信,"60,000",6,"2,400",0.04,0.04,0.04,0.04,－,0.02,0.03,30,0.04,10,14.86
="037616",N7中信,0,0,0,--,--,--,--,,0.00,0.02,10,0.03,10,74.20
="037617",KP永豐,"10,000",1,"3,400",0.34,0.34,0.34,0.34,X,0.00,0.35,10,0.36,10,14.00
="037618",KQ永豐,0,0,0,--,--,--,--,,0.00,0.08,10,0.09,10,15.95
="037619",KR永豐,0,0,0,--,--,--,--,,0.00,0.52,10,0.53,10,205.50
="037620",KS永豐,"90,000",1,"2,700",0.03,0.03,0.03,0.03,－,0.02,0.03,10,0.04,10,138.00
="037621",KT永豐,"80,000",1,"8,800",0.11,0.11,0.11,0.11,X,0.00,0.12,10,0.13,10,74.20
="037622",KU永豐,0,0,0,--,--,--,--,,0.00,2.10,10,2.18,10,28.35
="037623",KV永豐,0,0,0,--,--,--,--,,0.00,0.11,10,0.12,10,14.86
="037624",KW永豐,0,0,0,--,--,--,--,,0.00,0.21,10,0.22,10,27.45
="037625",KX永豐,0,0,0,--,--,--,--,,0.00,0.26,10,0.27,10,19.00
="037626",KY永豐,0,0,0,--,--,--,--,,0.00,1.45,10,1.48,10,51.90
="037627",KZ永豐,0,0,0,--,--,--,--,,0.00,0.50,10,0.51,10,59.80
="037628",LA永豐,0,0,0,--,--,--,--,,0.00,0.02,10,0.03,10,8.85
="037629",LB永豐,"50,000",5,"34,400",0.67,0.72,0.65,0.65,－,0.06,0.68,10,0.69,10,118.50
="037630",ZA元大,0,0,0,--,--,--,--,,0.00,--,0,0.02,100,40.10
="037631",ZB元大,"135,000",13,"4,250",0.04,0.04,0.02,0.02,－,0.06,0.02,95,0.04,154,210.00
="037632",ZC元大,"801,000",5,"176,180",0.22,0.22,0.20,0.20,－,0.03,0.18,100,0.19,100,27.45
="037633",ZD元大,"5,000",1,"20,450",4.09,4.09,4.09,4.09,X,0.00,--,0,--,0,23.90
="037634",ZE元大,0,0,0,--,--,--,--,,0.00,0.81,10,0.87,10,21.95
